HCl(%),Molality,HCl,H2O,MgCl2,CaCl2,CO2
28.00,10.66617907,10.66617907,55.55555556,0,0,0
27.50,10.47571159,10.47571159,55.6507893,0.047616871,0.047616871,0.095233742
27.00,10.2852441,10.2852441,55.74602304,0.095233742,0.095233742,0.190467483
26.50,10.09477662,10.09477662,55.84125678,0.142850613,0.142850613,0.285701225
26.00,9.904309136,9.904309136,55.93649052,0.190467483,0.190467483,0.380934967
25.50,9.713841653,9.713841653,56.03172426,0.238084354,0.238084354,0.476168708
25.00,9.52337417,9.52337417,56.12695801,0.285701225,0.285701225,0.57140245
24.50,9.332906686,9.332906686,56.22219175,0.333318096,0.333318096,0.666636192
24.00,9.142439203,9.142439203,56.31742549,0.380934967,0.380934967,0.761869934
23.50,8.951971719,8.951971719,56.41265923,0.428551838,0.428551838,0.857103675
23.00,8.761504236,8.761504236,56.50789297,0.476168708,0.476168708,0.952337417
22.50,8.571036753,8.571036753,56.60312671,0.523785579,0.523785579,1.047571159
22.00,8.380569269,8.380569269,56.69836046,0.57140245,0.57140245,1.1428049
21.50,8.190101786,8.190101786,56.7935942,0.619019321,0.619019321,1.238038642
21.00,7.999634302,7.999634302,56.88882794,0.666636192,0.666636192,1.333272384
20.50,7.809166819,7.809166819,56.98406168,0.714253063,0.714253063,1.428506125
20.00,7.618699336,7.618699336,57.07929542,0.761869934,0.761869934,1.523739867
19.50,7.428231852,7.428231852,57.17452916,0.809486804,0.809486804,1.618973609
19.00,7.237764369,7.237764369,57.26976291,0.857103675,0.857103675,1.714207351
18.50,7.047296885,7.047296885,57.36499665,0.904720546,0.904720546,1.809441092
18.00,6.856829402,6.856829402,57.46023039,0.952337417,0.952337417,1.904674834
17.50,6.666361919,6.666361919,57.55546413,0.999954288,0.999954288,1.999908576
17.00,6.475894435,6.475894435,57.65069787,1.047571159,1.047571159,2.095142317
16.50,6.285426952,6.285426952,57.74593161,1.095188029,1.095188029,2.190376059
16.00,6.094959469,6.094959469,57.84116536,1.1428049,1.1428049,2.285609801
15.50,5.904491985,5.904491985,57.9363991,1.190421771,1.190421771,2.380843542
15.00,5.714024502,5.714024502,58.03163284,1.238038642,1.238038642,2.476077284
14.50,5.523557018,5.523557018,58.12686658,1.285655513,1.285655513,2.571311026
14.00,5.333089535,5.333089535,58.22210032,1.333272384,1.333272384,2.666544767
13.50,5.142622052,5.142622052,58.31733406,1.380889255,1.380889255,2.761778509
13.00,4.952154568,4.952154568,58.41256781,1.428506125,1.428506125,2.857012251
12.50,4.761687085,4.761687085,58.50780155,1.476122996,1.476122996,2.952245993
12.00,4.571219601,4.571219601,58.60303529,1.523739867,1.523739867,3.047479734
11.50,4.380752118,4.380752118,58.69826903,1.571356738,1.571356738,3.142713476
11.00,4.190284635,4.190284635,58.79350277,1.618973609,1.618973609,3.237947218
10.50,3.999817151,3.999817151,58.88873651,1.66659048,1.66659048,3.333180959
10.00,3.809349668,3.809349668,58.98397026,1.714207351,1.714207351,3.428414701
9.50,3.618882184,3.618882184,59.079204,1.761824221,1.761824221,3.523648443
9.00,3.428414701,3.428414701,59.17443774,1.809441092,1.809441092,3.618882184
8.50,3.237947218,3.237947218,59.26967148,1.857057963,1.857057963,3.714115926
8.00,3.047479734,3.047479734,59.36490522,1.904674834,1.904674834,3.809349668
7.50,2.857012251,2.857012251,59.46013897,1.952291705,1.952291705,3.90458341
7.00,2.666544767,2.666544767,59.55537271,1.999908576,1.999908576,3.999817151
6.50,2.476077284,2.476077284,59.65060645,2.047525446,2.047525446,4.095050893
6.00,2.285609801,2.285609801,59.74584019,2.095142317,2.095142317,4.190284635
5.50,2.095142317,2.095142317,59.84107393,2.142759188,2.142759188,4.285518376
5.00,1.904674834,1.904674834,59.93630767,2.190376059,2.190376059,4.380752118
4.50,1.714207351,1.714207351,60.03154142,2.23799293,2.23799293,4.47598586
4.00,1.523739867,1.523739867,60.12677516,2.285609801,2.285609801,4.571219601
3.50,1.333272384,1.333272384,60.2220089,2.333226672,2.333226672,4.666453343
3.00,1.1428049,1.1428049,60.31724264,2.380843542,2.380843542,4.761687085
2.50,0.952337417,0.952337417,60.41247638,2.428460413,2.428460413,4.856920826
2.00,0.761869934,0.761869934,60.50771012,2.476077284,2.476077284,4.952154568
1.50,0.57140245,0.57140245,60.60294387,2.523694155,2.523694155,5.04738831
1.00,0.380934967,0.380934967,60.69817761,2.571311026,2.571311026,5.142622052
0.50,0.190467483,0.190467483,60.79341135,2.618927897,2.618927897,5.237855793
0.00,0,0,60.88864509,2.666544767,2.666544767,5.333089535
